competitionId,gameId,homeId,awayId,teamId1,teamId2,teamId,periodIdx,clock,awayLineupId,homeLineupId,actionType,subType,qualifiers,success,x,y,side,score1,score2,clock_seconds,game_clock_seconds,_match_period,frame_id
33533,2187675,104448,103384,104448,103384,103384,1,05:08:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,foul,personal,shooting;2freethrow,True,13.0,50.0,RIGHT,29,28,308.0,308.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:11:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,3pt,jumpshot,,False,7.0,4.0,LEFT,29,28,311.0,311.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:27:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,rebound,defensive,team,True,0.0,0.0,LEFT,29,28,327.0,327.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,05:28:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,2pt,drivinglayup,pointsinthepaint,False,88.0,44.0,RIGHT,29,28,328.0,328.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,05:43:00,1608569;982236;1895742;985798;,1311667;1605200;1912261;950230;1698334;,substitution,in,,True,0.0,0.0,RIGHT,28,28,343.0,343.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,05:43:00,1608569;1687573;982236;1895742;985798;,1311667;1605200;1912261;950230;1698334;,substitution,out,,True,0.0,0.0,RIGHT,28,28,343.0,343.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:43:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,freethrow,2of2,fastbreak,True,0.0,0.0,LEFT,29,28,343.0,343.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:43:00,1608569;1687573;982236;1895742;985798;,1698339;1311667;1605200;1912261;950230;,substitution,out,,True,0.0,0.0,LEFT,28,28,343.0,343.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:43:00,1608569;1687573;982236;1895742;985798;,1698339;1311667;1605200;1912261;950230;,freethrow,1of2,fastbreak,False,0.0,0.0,LEFT,28,28,343.0,343.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,05:43:00,1608569;1687573;982236;1895742;985798;,1698339;1311667;1605200;1912261;950230;,foul,personal,shooting;2freethrow,True,12.0,47.0,RIGHT,28,28,343.0,343.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:43:00,1608569;1687573;982236;1895742;985798;,1698339;1311667;1605200;1912261;950230;,foulon,,,True,0.0,0.0,LEFT,28,28,343.0,343.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:43:00,1608569;1687573;982236;1895742;985798;,1311667;1605200;1912261;950230;,substitution,in,,True,0.0,0.0,LEFT,28,28,343.0,343.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:48:00,1608569;1687573;982236;1895742;985798;,1698339;1311667;1605200;1912261;950230;,rebound,defensive,,True,0.0,0.0,LEFT,28,28,348.0,348.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,05:51:00,1608569;1687573;982236;1895742;985798;,1698339;1311667;1605200;1912261;950230;,2pt,jumpshot,2ndchance,False,89.0,34.0,RIGHT,28,28,351.0,351.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:54:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,foul,personal,shooting;2freethrow,True,89.0,43.0,LEFT,28,28,354.0,354.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,05:54:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,freethrow,1of2,fastbreak,False,0.0,0.0,RIGHT,28,28,354.0,354.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,05:54:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,foulon,,,True,0.0,0.0,RIGHT,28,28,354.0,354.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,05:54:00,1608569;1687573;982236;1895742;985798;,1698339;1311667;1605200;1912261;950230;,rebound,offensive,,True,0.0,0.0,RIGHT,28,28,354.0,354.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:54:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,substitution,out,,True,0.0,0.0,LEFT,28,28,354.0,354.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,05:54:00,1608569;1687573;982236;1895742;985798;,1698339;1311667;1605200;1912261;950230;,freethrow,2of2,fastbreak,False,0.0,0.0,RIGHT,28,28,354.0,354.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:54:00,1608569;1687573;982236;1895742;985798;,1698339;1311667;1605200;1912261;,substitution,in,,True,0.0,0.0,LEFT,28,28,354.0,354.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,05:56:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,rebound,defensive,,True,0.0,0.0,RIGHT,28,28,356.0,356.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,05:59:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,2pt,jumpshot,fromturnover,False,20.0,71.0,LEFT,28,28,359.0,359.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,06:05:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,steal,,,True,0.0,0.0,LEFT,28,28,365.0,365.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,06:05:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,turnover,lostball,,True,68.0,43.0,RIGHT,28,28,365.0,365.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,06:20:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,rebound,defensive,,True,0.0,0.0,RIGHT,28,28,380.0,380.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,06:20:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,freethrow,1of2,,False,0.0,0.0,LEFT,28,28,380.0,380.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,06:20:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,foul,personal,2freethrow,True,15.0,36.0,RIGHT,28,28,380.0,380.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,06:20:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,foulon,,,True,0.0,0.0,LEFT,28,28,380.0,380.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,06:20:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,freethrow,2of2,,False,0.0,0.0,LEFT,28,28,380.0,380.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,06:35:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,foul,personal,shooting;2freethrow,True,92.0,47.0,LEFT,28,26,395.0,395.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,06:35:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,freethrow,2of2,2ndchance;fromturnover,True,0.0,0.0,RIGHT,28,28,395.0,395.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,06:35:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,foulon,,,True,0.0,0.0,RIGHT,28,26,395.0,395.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,06:35:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,freethrow,1of2,2ndchance;fromturnover,True,0.0,0.0,RIGHT,28,27,395.0,395.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,06:36:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,rebound,offensive,,True,0.0,0.0,RIGHT,28,26,396.0,396.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,06:37:00,1608569;1687573;982236;1895742;985798;,1334083;1698339;1311667;1605200;1912261;,2pt,layup,fromturnover;pointsinthepaint,False,89.0,42.0,RIGHT,28,26,397.0,397.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,06:47:00,1608569;1687571;1687573;982236;1895742;,1334083;1698339;1311667;1605200;,substitution,in,,True,0.0,0.0,LEFT,28,26,407.0,407.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,06:47:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1698339;1301389;1311667;,turnover,offensive,,True,0.0,0.0,LEFT,28,26,407.0,407.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,06:47:00,1608569;1687573;982236;1895742;,1334083;1698339;1311667;1605200;1912261;,substitution,in,,True,0.0,0.0,RIGHT,28,26,407.0,407.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,06:47:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1698339;1311667;,substitution,out,,True,0.0,0.0,LEFT,28,26,407.0,407.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,06:47:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1698339;1301389;1311667;,foulon,,,True,0.0,0.0,RIGHT,28,26,407.0,407.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,06:47:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1698339;1301389;1311667;,substitution,out,,True,0.0,0.0,LEFT,28,26,407.0,407.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,06:47:00,1608569;1687571;1687573;982236;1895742;,1334083;1698339;1311667;,substitution,in,,True,0.0,0.0,LEFT,28,26,407.0,407.0,1,258
33533,2187675,104448,103384,104448,103384,0,1,06:47:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1698339;1301389;1311667;,timeout,commercial,,True,0.0,0.0,LEFT,28,26,407.0,407.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,06:47:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1698339;1301389;1311667;,foul,offensive,,True,92.0,52.0,LEFT,28,26,407.0,407.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,06:47:00,1608569;1687571;1687573;982236;1895742;,1334083;1698339;1311667;1605200;1912261;,substitution,out,,True,0.0,0.0,RIGHT,28,26,407.0,407.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,07:08:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1698339;1301389;1311667;,2pt,dunk,pointsinthepaint,True,92.0,52.0,RIGHT,28,26,428.0,428.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,07:08:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1698339;1301389;1311667;,assist,,,True,0.0,0.0,RIGHT,28,26,428.0,428.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,07:18:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1698339;1301389;1311667;,rebound,defensive,,True,0.0,0.0,RIGHT,28,24,438.0,438.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,07:22:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1698339;1301389;1311667;,2pt,jumpshot,,False,14.0,76.0,LEFT,28,24,442.0,442.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,07:39:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1698339;1301389;1311667;,2pt,turnaroundjumpshot,,True,79.0,36.0,RIGHT,28,24,459.0,459.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,08:09:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1698339;1301389;1311667;,2pt,jumpshot,,True,16.0,23.0,LEFT,28,22,489.0,489.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,08:40:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1698339;1301389;1311667;,2pt,drivinglayup,pointsinthepaint,True,90.0,43.0,RIGHT,26,22,520.0,520.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,08:47:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1912262;1698339;1301389;,foul,personal,,True,89.0,42.0,LEFT,26,20,527.0,527.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,08:47:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1912262;1698339;1301389;,foulon,,,True,0.0,0.0,RIGHT,26,20,527.0,527.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,08:47:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1912262;1698339;1301389;,substitution,out,,True,0.0,0.0,LEFT,26,20,527.0,527.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,08:47:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1698339;1301389;,substitution,in,,True,0.0,0.0,LEFT,26,20,527.0,527.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,09:00:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1912262;1698339;1301389;,assist,,,True,0.0,0.0,LEFT,26,20,540.0,540.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,09:00:00,1608569;1687571;1687573;982236;1895742;,1334083;950230;1912262;1698339;1301389;,3pt,jumpshot,,True,6.0,4.0,LEFT,26,20,540.0,540.0,1,258
